owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
Organization,https://api.github.com/users/SDWebImage,https://github.com/SDWebImage,https://github.com/SDWebImage/SDWebImage,https://api.github.com/repos/SDWebImage/SDWebImage,False,2009-09-21T17:39:19Z,2019-06-25T10:06:37Z,11054,21614,Objective-C,True,True,5426,5426,26,21614,,,
Organization,https://api.github.com/users/huginn,https://github.com/huginn,https://github.com/huginn/huginn,https://api.github.com/repos/huginn/huginn,False,2013-03-10T06:00:31Z,2019-06-25T13:52:44Z,7662,21603,Ruby,True,True,2344,2344,366,21603,,,
Organization,https://api.github.com/users/shadowsocks,https://github.com/shadowsocks,https://github.com/shadowsocks/ShadowsocksX-NG,https://api.github.com/repos/shadowsocks/ShadowsocksX-NG,False,2016-06-10T11:49:00Z,2019-06-25T15:02:59Z,19065,21536,Swift,True,True,5986,5986,180,21536,,,
Organization,https://api.github.com/users/vuejs,https://github.com/vuejs,https://github.com/vuejs/vue-cli,https://api.github.com/repos/vuejs/vue-cli,False,2015-12-26T23:11:20Z,2019-06-25T14:34:58Z,15514,21402,JavaScript,True,True,3580,3580,361,21402,,,
User,https://api.github.com/users/IanLunn,https://github.com/IanLunn,https://github.com/IanLunn/Hover,https://api.github.com/repos/IanLunn/Hover,False,2014-01-02T14:27:35Z,2019-06-25T15:06:10Z,962,21397,CSS,True,True,4650,4650,29,21397,,,
Organization,https://api.github.com/users/standard,https://github.com/standard,https://github.com/standard/standard,https://api.github.com/repos/standard/standard,False,2015-01-27T01:23:31Z,2019-06-25T13:37:04Z,2100,21392,JavaScript,True,False,1622,1622,93,21392,,,
Organization,https://api.github.com/users/getsentry,https://github.com/getsentry,https://github.com/getsentry/sentry,https://api.github.com/repos/getsentry/sentry,False,2010-08-30T22:06:41Z,2019-06-25T14:57:56Z,113449,21265,Python,True,False,2432,2432,880,21265,,,
User,https://api.github.com/users/herrbischoff,https://github.com/herrbischoff,https://github.com/herrbischoff/awesome-macos-command-line,https://api.github.com/repos/herrbischoff/awesome-macos-command-line,False,2015-09-22T19:37:55Z,2019-06-25T13:33:03Z,496,21243,,False,False,1198,1198,7,21243,,,
User,https://api.github.com/users/crossoverJie,https://github.com/crossoverJie,https://github.com/crossoverJie/JCSprout,https://api.github.com/repos/crossoverJie/JCSprout,False,2017-12-17T09:06:50Z,2019-06-25T09:45:55Z,1072,21187,Java,True,True,5845,5845,19,21187,,,
User,https://api.github.com/users/greenrobot,https://github.com/greenrobot,https://github.com/greenrobot/EventBus,https://api.github.com/repos/greenrobot/EventBus,False,2012-07-16T16:55:40Z,2019-06-25T14:33:38Z,1560,21187,Java,True,True,4308,4308,111,21187,,,
User,https://api.github.com/users/danielgindi,https://github.com/danielgindi,https://github.com/danielgindi/Charts,https://api.github.com/repos/danielgindi/Charts,False,2015-03-20T10:49:12Z,2019-06-25T14:44:34Z,159336,21163,Swift,True,True,4117,4117,442,21163,,,
Organization,https://api.github.com/users/Polymer,https://github.com/Polymer,https://github.com/Polymer/polymer,https://api.github.com/repos/Polymer/polymer,False,2012-08-23T20:56:30Z,2019-06-25T11:56:58Z,29435,21091,HTML,True,True,1998,1998,263,21091,,,
Organization,https://api.github.com/users/postcss,https://github.com/postcss,https://github.com/postcss/postcss,https://api.github.com/repos/postcss/postcss,False,2013-09-24T23:06:48Z,2019-06-25T14:25:20Z,5422,21060,JavaScript,True,False,1151,1151,14,21060,,,
Organization,https://api.github.com/users/emberjs,https://github.com/emberjs,https://github.com/emberjs/ember.js,https://api.github.com/repos/emberjs/ember.js,False,2011-05-25T23:39:40Z,2019-06-25T07:27:37Z,56849,21059,JavaScript,True,False,4175,4175,267,21059,,,
User,https://api.github.com/users/trimstray,https://github.com/trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,https://api.github.com/repos/trimstray/the-book-of-secret-knowledge,False,2018-06-23T10:43:14Z,2019-06-25T15:03:04Z,1218,21056,,True,False,2007,2007,2,21056,,,
Organization,https://api.github.com/users/symfony,https://github.com/symfony,https://github.com/symfony/symfony,https://api.github.com/repos/symfony/symfony,False,2010-01-04T14:21:21Z,2019-06-25T13:22:07Z,139929,21045,PHP,True,False,6985,6985,884,21045,,,
User,https://api.github.com/users/fzaninotto,https://github.com/fzaninotto,https://github.com/fzaninotto/Faker,https://api.github.com/repos/fzaninotto/Faker,False,2011-10-14T22:49:02Z,2019-06-25T14:25:25Z,8027,21026,PHP,True,False,2416,2416,216,21026,,,
