id,owner_type,owner_url,owner_html_url,html_url,url,fork,created_at,updated_at,size,stargazers_count,language,has_issues,has_wiki,forks_count,forks,open_issues,watchers,commits,contributors,readme
93076012,Organization,https://api.github.com/users/prisma-archive,https://github.com/prisma-archive,https://github.com/prisma-archive/chromeless,https://api.github.com/repos/prisma-archive/chromeless,False,2017-06-01T16:11:11Z,2019-07-02T12:11:32Z,1088,13234,TypeScript,True,True,601,601,198,13234,,,
4524181,Organization,https://api.github.com/users/facebook,https://github.com/facebook,https://github.com/facebook/folly,https://api.github.com/repos/facebook/folly,False,2012-06-01T20:49:04Z,2019-07-02T16:36:17Z,24871,13230,C++,True,True,3180,3180,172,13230,,,
48610662,User,https://api.github.com/users/Neilpang,https://github.com/Neilpang,https://github.com/Neilpang/acme.sh,https://api.github.com/repos/Neilpang/acme.sh,False,2015-12-26T12:56:33Z,2019-07-02T16:48:01Z,3558,13225,Shell,True,True,1688,1688,479,13225,,,
32157172,Organization,https://api.github.com/users/gfwlist,https://github.com/gfwlist,https://github.com/gfwlist/gfwlist,https://api.github.com/repos/gfwlist/gfwlist,False,2015-03-13T13:24:56Z,2019-07-02T16:36:26Z,68604,13209,,True,True,2517,2517,307,13209,,,
28513398,User,https://api.github.com/users/MengTo,https://github.com/MengTo,https://github.com/MengTo/Spring,https://api.github.com/repos/MengTo/Spring,False,2014-12-26T14:57:02Z,2019-07-02T05:18:32Z,941,13197,Swift,True,True,1568,1568,160,13197,,,
105036236,Organization,https://api.github.com/users/Shopify,https://github.com/Shopify,https://github.com/Shopify/draggable,https://api.github.com/repos/Shopify/draggable,False,2017-09-27T15:31:23Z,2019-07-02T11:09:18Z,4757,13187,JavaScript,True,True,694,694,108,13187,,,
22607013,Organization,https://api.github.com/users/amazeui,https://github.com/amazeui,https://github.com/amazeui/amazeui,https://api.github.com/repos/amazeui/amazeui,False,2014-08-04T14:23:37Z,2019-07-02T16:47:46Z,20647,13184,JavaScript,True,True,2537,2537,115,13184,,,
326688,User,https://api.github.com/users/janl,https://github.com/janl,https://github.com/janl/mustache.js,https://api.github.com/repos/janl/mustache.js,False,2009-10-04T23:41:19Z,2019-07-02T15:08:46Z,1303,13172,JavaScript,True,True,2298,2298,90,13172,,,
5405654,User,https://api.github.com/users/pcottle,https://github.com/pcottle,https://github.com/pcottle/learnGitBranching,https://api.github.com/repos/pcottle/learnGitBranching,False,2012-08-13T22:36:09Z,2019-07-02T07:19:24Z,57128,13168,JavaScript,True,True,3201,3201,24,13168,,,
21265042,Organization,https://api.github.com/users/facebookarchive,https://github.com/facebookarchive,https://github.com/facebookarchive/AsyncDisplayKit,https://api.github.com/repos/facebookarchive/AsyncDisplayKit,False,2014-06-27T05:29:02Z,2019-07-02T02:24:52Z,131026,13158,Objective-C++,True,True,2294,2294,23,13158,,,
32531480,Organization,https://api.github.com/users/js-cookie,https://github.com/js-cookie,https://github.com/js-cookie/js-cookie,https://api.github.com/repos/js-cookie/js-cookie,False,2015-03-19T15:57:47Z,2019-07-02T14:57:48Z,485,13149,JavaScript,True,True,1720,1720,15,13149,,,
49594603,User,https://api.github.com/users/n0shake,https://github.com/n0shake,https://github.com/n0shake/Public-APIs,https://api.github.com/repos/n0shake/Public-APIs,False,2016-01-13T18:53:25Z,2019-07-02T16:54:47Z,502,13148,,True,True,1064,1064,3,13148,,,
19542809,Organization,https://api.github.com/users/interagent,https://github.com/interagent,https://github.com/interagent/http-api-design,https://api.github.com/repos/interagent/http-api-design,False,2014-05-07T17:00:37Z,2019-07-01T16:53:33Z,144,13137,,True,True,1060,1060,31,13137,,,
31288958,Organization,https://api.github.com/users/hashicorp,https://github.com/hashicorp,https://github.com/hashicorp/vault,https://api.github.com/repos/hashicorp/vault,False,2015-02-25T00:15:59Z,2019-07-02T14:59:47Z,85923,13137,Go,True,False,1971,1971,490,13137,,,
128237146,Organization,https://api.github.com/users/vuejs,https://github.com/vuejs,https://github.com/vuejs/vuepress,https://api.github.com/repos/vuejs/vuepress,False,2018-04-05T16:58:38Z,2019-07-02T15:58:51Z,6637,13127,JavaScript,True,True,1880,1880,166,13127,,,
88876034,User,https://api.github.com/users/TKkk-iOSer,https://github.com/TKkk-iOSer,https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,https://api.github.com/repos/TKkk-iOSer/WeChatPlugin-MacOS,False,2017-04-20T14:37:37Z,2019-07-02T13:07:18Z,25282,13123,Objective-C,True,True,2067,2067,134,13123,,,
31629751,Organization,https://api.github.com/users/cypress-io,https://github.com/cypress-io,https://github.com/cypress-io/cypress,https://api.github.com/repos/cypress-io/cypress,False,2015-03-04T00:46:28Z,2019-07-02T16:40:30Z,134608,13118,CoffeeScript,True,True,654,654,1087,13118,,,
56969116,User,https://api.github.com/users/ngosang,https://github.com/ngosang,https://github.com/ngosang/trackerslist,https://api.github.com/repos/ngosang/trackerslist,False,2016-04-24T11:57:57Z,2019-07-02T16:52:41Z,1705,13106,,True,False,1936,1936,2,13106,,,
9354478,User,https://api.github.com/users/ibireme,https://github.com/ibireme,https://github.com/ibireme/YYKit,https://api.github.com/repos/ibireme/YYKit,False,2013-04-10T19:47:33Z,2019-07-02T09:07:20Z,56960,13085,Objective-C,True,False,3457,3457,242,13085,,,
40508605,Organization,https://api.github.com/users/facebook,https://github.com/facebook,https://github.com/facebook/relay,https://api.github.com/repos/facebook/relay,False,2015-08-10T22:09:16Z,2019-07-02T11:14:55Z,29699,13085,JavaScript,True,True,1290,1290,206,13085,,,
61421257,Organization,https://api.github.com/users/eggjs,https://github.com/eggjs,https://github.com/eggjs/egg,https://api.github.com/repos/eggjs/egg,False,2016-06-18T06:53:23Z,2019-07-02T16:09:27Z,55799,13063,JavaScript,True,True,1272,1272,73,13063,,,
760732,User,https://api.github.com/users/ccgus,https://github.com/ccgus,https://github.com/ccgus/fmdb,https://api.github.com/repos/ccgus/fmdb,False,2010-07-06T22:50:17Z,2019-07-02T13:50:22Z,1242,13055,Objective-C,True,True,2764,2764,244,13055,,,
13926404,Organization,https://api.github.com/users/getredash,https://github.com/getredash,https://github.com/getredash/redash,https://api.github.com/repos/getredash/redash,False,2013-10-28T13:19:39Z,2019-07-02T16:05:12Z,15602,13046,Python,True,False,2162,2162,469,13046,,,
